id	genes
Zhang-Barres_matureastrocytes_1	ENSG00000183579, ENSG00000139155, ENSG00000151012, ENSG00000130876, ENSG00000148482, ENSG00000182902, ENSG00000115902, ENSG00000079215, ENSG00000110436, ENSG00000141469, ENSG00000141485, ENSG00000135919, ENSG00000160678, ENSG00000147509, ENSG00000148604, ENSG00000164188, ENSG00000146005, ENSG00000146250, ENSG00000119938, ENSG00000131771, ENSG00000149090, ENSG00000272325, ENSG00000169006, ENSG00000072952, ENSG00000134042, ENSG00000025423, ENSG00000010282, ENSG00000089472, ENSG00000170075, ENSG00000101850, ENSG00000179399, ENSG00000135821, ENSG00000182890, ENSG00000148672, ENSG00000121742, ENSG00000152661, ENSG00000266964, ENSG00000068078, ENSG00000211448, ENSG00000171903, ENSG00000101439, ENSG00000109472, ENSG00000134873, ENSG00000134508, ENSG00000153446, ENSG00000138696, ENSG00000154930, ENSG00000103740, ENSG00000176244
Zhang-Barres_matureastrocytes_2	
Zhang-Barres_microgliamacrophages	ENSG00000137462, ENSG00000142583, ENSG00000155307, ENSG00000169413, ENSG00000090104, ENSG00000162924, ENSG00000081237, ENSG00000115956, ENSG00000011422, ENSG00000181631, ENSG00000169313, ENSG00000165312, ENSG00000173391, ENSG00000119508, ENSG00000162711, ENSG00000038945, ENSG00000166927, ENSG00000110079, ENSG00000197629, ENSG00000133800, ENSG00000136167, ENSG00000162511, ENSG00000125538, ENSG00000115008, ENSG00000135077, ENSG00000171659, ENSG00000169508, ENSG00000171051, ENSG00000127951, ENSG00000143226, ENSG00000186431, ENSG00000107099, ENSG00000134516, ENSG00000073737, ENSG00000165168, ENSG00000168329, ENSG00000172243, ENSG00000138135, ENSG00000114013, ENSG00000112149, ENSG00000143119, ENSG00000275302, ENSG00000277632, ENSG00000197405, ENSG00000171860, ENSG00000140379, ENSG00000176597, ENSG00000077420, ENSG00000042980
Zhang-Barres_microgliamacrophages_1	ENSG00000137462, ENSG00000155307, ENSG00000169413, ENSG00000081237, ENSG00000115956, ENSG00000181631, ENSG00000169313, ENSG00000165312, ENSG00000173391, ENSG00000162711, ENSG00000038945, ENSG00000166927, ENSG00000110079, ENSG00000197629, ENSG00000133800, ENSG00000136167, ENSG00000162511, ENSG00000135077, ENSG00000171659, ENSG00000127951, ENSG00000143226, ENSG00000107099, ENSG00000134516, ENSG00000073737, ENSG00000165168, ENSG00000168329, ENSG00000172243, ENSG00000138135, ENSG00000114013, ENSG00000112149, ENSG00000143119, ENSG00000171860, ENSG00000077420, ENSG00000042980
Zhang-Barres_microgliamacrophages_2	ENSG00000142583, ENSG00000090104, ENSG00000162924, ENSG00000011422, ENSG00000119508, ENSG00000125538, ENSG00000115008, ENSG00000169508, ENSG00000171051, ENSG00000186431, ENSG00000275302, ENSG00000277632, ENSG00000197405, ENSG00000140379, ENSG00000176597
Zhang-Barres_neuron	ENSG00000157404, ENSG00000151789, ENSG00000165061, ENSG00000174460, ENSG00000163032, ENSG00000146469, ENSG00000166863, ENSG00000006128, ENSG00000019505, ENSG00000067715, ENSG00000163630, ENSG00000157152, ENSG00000177511, ENSG00000132639, ENSG00000144290, ENSG00000180440, ENSG00000166257, ENSG00000136531, ENSG00000139970, ENSG00000189056, ENSG00000152932, ENSG00000248485, ENSG00000186472, ENSG00000242419, ENSG00000157064, ENSG00000125814, ENSG00000214548, ENSG00000125869, ENSG00000185760, ENSG00000166006, ENSG00000148798, ENSG00000119125, ENSG00000136750, ENSG00000128683, ENSG00000113327, ENSG00000145864, ENSG00000022355, ENSG00000136928, ENSG00000168032, ENSG00000231764, ENSG00000144355, ENSG00000237289, ENSG00000223572, ENSG00000089199, ENSG00000113100, ENSG00000187094, ENSG00000172137, ENSG00000104327, ENSG00000184515
Zhang-Barres_neuron_1	ENSG00000157404, ENSG00000151789, ENSG00000165061, ENSG00000174460, ENSG00000163032, ENSG00000146469, ENSG00000166863, ENSG00000006128, ENSG00000019505, ENSG00000067715, ENSG00000163630, ENSG00000157152, ENSG00000177511, ENSG00000132639, ENSG00000144290, ENSG00000180440, ENSG00000166257, ENSG00000136531, ENSG00000139970, ENSG00000189056, ENSG00000152932, ENSG00000248485, ENSG00000186472, ENSG00000242419, ENSG00000157064, ENSG00000125814, ENSG00000125869, ENSG00000185760, ENSG00000166006, ENSG00000148798, ENSG00000119125, ENSG00000136750, ENSG00000128683, ENSG00000113327, ENSG00000145864, ENSG00000022355, ENSG00000136928, ENSG00000168032, ENSG00000231764, ENSG00000144355, ENSG00000237289, ENSG00000223572, ENSG00000089199, ENSG00000113100, ENSG00000187094, ENSG00000104327, ENSG00000184515
Zhang-Barres_neuron_2	ENSG00000214548, ENSG00000172137
Zhang-Barres_oligodendrocytes	ENSG00000065361, ENSG00000174607, ENSG00000078804, ENSG00000164124, ENSG00000179178, ENSG00000091513, ENSG00000147488, ENSG00000100146, ENSG00000139737, ENSG00000180739, ENSG00000162444, ENSG00000151552, ENSG00000123560, ENSG00000102934, ENSG00000054690, ENSG00000144283, ENSG00000150867, ENSG00000124374, ENSG00000197430, ENSG00000171840, ENSG00000168314, ENSG00000197971, ENSG00000198121, ENSG00000224924, ENSG00000167755, ENSG00000117594, ENSG00000164161, ENSG00000170775, ENSG00000169562, ENSG00000086205, ENSG00000065809, ENSG00000136541, ENSG00000136960, ENSG00000244274, ENSG00000166394, ENSG00000183230, ENSG00000184144, ENSG00000173786, ENSG00000150656, ENSG00000080822, ENSG00000013297, ENSG00000016602, ENSG00000172508, ENSG00000092529, ENSG00000154642, ENSG00000064787, ENSG00000189058, ENSG00000011426, ENSG00000141338
Zhang-Barres_oligodendrocytes_1	ENSG00000065361, ENSG00000174607, ENSG00000078804, ENSG00000164124, ENSG00000179178, ENSG00000091513, ENSG00000147488, ENSG00000100146, ENSG00000139737, ENSG00000180739, ENSG00000162444, ENSG00000151552, ENSG00000123560, ENSG00000102934, ENSG00000054690, ENSG00000144283, ENSG00000150867, ENSG00000124374, ENSG00000197430, ENSG00000171840, ENSG00000168314, ENSG00000197971, ENSG00000198121, ENSG00000224924, ENSG00000167755, ENSG00000117594, ENSG00000164161, ENSG00000170775, ENSG00000169562, ENSG00000086205, ENSG00000065809, ENSG00000136541, ENSG00000136960, ENSG00000244274, ENSG00000166394, ENSG00000183230, ENSG00000184144, ENSG00000173786, ENSG00000150656, ENSG00000080822, ENSG00000013297, ENSG00000016602, ENSG00000172508, ENSG00000092529, ENSG00000154642, ENSG00000064787, ENSG00000189058, ENSG00000011426, ENSG00000141338
