NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_83	ENSG00000148516	976	0.31589463353157043	0.095271684	No	
row_84	ENSG00000124813	978	0.3155464828014374	0.096599974	No	
row_85	ENSG00000162643	986	0.3147183656692505	0.09721593	No	
row_86	ENSG00000125148	1000	0.31319597363471985	0.09711634	No	
row_87	ENSG00000180257	1012	0.31173521280288696	0.09724625	No	
row_88	ENSG00000151229	1019	0.30964550375938416	0.09795704	No	
row_89	ENSG00000178177	1040	0.3050849139690399	0.09699364	No	
row_90	ENSG00000063854	1044	0.30484455823898315	0.09803669	No	
row_91	ENSG00000140350	1053	0.3040233254432678	0.09848552	No	
row_92	ENSG00000170293	1058	0.3034127950668335	0.099403925	No	
row_93	ENSG00000163714	1065	0.3021208643913269	0.10008022	No	
row_94	ENSG00000235162	1068	0.3015316426753998	0.10122618	No	
row_95	ENSG00000101447	1070	0.30132174491882324	0.10248928	No	
row_96	ENSG00000123609	1071	0.30105048418045044	0.103869215	No	
row_97	ENSG00000135272	1072	0.3008832037448883	0.105248384	No	
row_98	ENSG00000119865	1077	0.30003821849823	0.10615132	No	
row_99	ENSG00000108666	1080	0.2997860908508301	0.10728928	No	
row_100	ENSG00000253250	1104	0.294932097196579	0.10592506	No	
row_101	ENSG00000127989	1111	0.292854368686676	0.10655888	No	
row_102	ENSG00000134590	1115	0.29239803552627563	0.10754489	No	
row_103	ENSG00000158169	1120	0.29158681631088257	0.108409084	No	
row_104	ENSG00000119397	1124	0.29070335626602173	0.109387316	No	
row_105	ENSG00000136052	1131	0.28947001695632935	0.110005625	No	
row_106	ENSG00000177990	1148	0.2874622642993927	0.109433815	No	
row_107	ENSG00000165891	1153	0.2868092358112335	0.11027611	No	
row_108	ENSG00000185808	1174	0.2831975519657135	0.109212376	No	
row_109	ENSG00000213066	1185	0.28224459290504456	0.1093252	No	
row_110	ENSG00000127920	1206	0.2786615788936615	0.10824068	No	
row_111	ENSG00000116117	1227	0.27556416392326355	0.107141964	No	
row_112	ENSG00000153814	1228	0.27550044655799866	0.10840479	No	
row_113	ENSG00000136938	1229	0.27549195289611816	0.10966758	No	
row_114	ENSG00000005243	1231	0.2753868103027344	0.110811785	No	
row_115	ENSG00000164105	1243	0.2739488184452057	0.11076849	No	
row_116	ENSG00000131018	1246	0.27370795607566833	0.11178692	No	
row_117	ENSG00000172171	1249	0.2733657658100128	0.11280377	No	
row_118	ENSG00000196975	1257	0.27243754267692566	0.113225915	No	
row_119	ENSG00000248487	1267	0.2716699242591858	0.11340836	No	
row_120	ENSG00000181163	1275	0.27037978172302246	0.11382107	No	
row_121	ENSG00000102934	1276	0.27017465233802795	0.11505948	No	
row_122	ENSG00000197959	1292	0.268704354763031	0.114519775	No	
row_123	ENSG00000134318	1319	0.2649723291397095	0.11266396	No	
row_124	ENSG00000175048	1321	0.2648589015007019	0.11375991	No	
row_125	ENSG00000141759	1337	0.2613980770111084	0.113186724	No	
row_126	ENSG00000105401	1345	0.25995489954948425	0.11355165	No	
row_127	ENSG00000134283	1347	0.2597084641456604	0.11462399	No	
row_128	ENSG00000023445	1353	0.2592101991176605	0.115221694	No	
row_129	ENSG00000111981	1358	0.2582128345966339	0.115932904	No	
row_130	ENSG00000173511	1367	0.2568621337413788	0.11616556	No	
row_131	ENSG00000106853	1378	0.2555932104587555	0.11615622	No	
row_132	ENSG00000169129	1395	0.25380223989486694	0.115430124	No	
row_133	ENSG00000168769	1406	0.2530699074268341	0.11540921	No	
row_134	ENSG00000123080	1410	0.2525589168071747	0.11621261	No	
row_135	ENSG00000196116	1416	0.25201132893562317	0.1167773	No	
row_136	ENSG00000196562	1431	0.2503497898578644	0.116271555	No	
row_137	ENSG00000179476	1435	0.24958917498588562	0.11706134	No	
row_138	ENSG00000023572	1472	0.2456650733947754	0.113936104	No	
row_139	ENSG00000196083	1474	0.24550777673721313	0.114943355	No	
