Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
TAZ	0.9289289	0.48459384	0.43630892	0.9986505	0.94525546	0.36573148	0.008944544	0.26082578	0.73952097	0.6230159	0.9989095	0.9261939	1.0	0.15853658	1.0	0.09400827	1.0	0.97716343	0.1482821	0.18292683	0.6822857	0.9117647	0.9883041	0.9254658	1.0	0.7237762	0.024630541	0.83523446	0.95891786	0.061728396	0.91603875	0.7522936	0.99278843	0.2883598	0.9960578	0.9927928	0.31220657	0.99306357	0.3687375	0.99394673	0.9988053	0.0	0.0	0.86153847	0.73333335	0.6769231	1.0	0.16666667	0.14	0.9651972	0.85025126	0.030042918	0.9826087	0.018055556	0.83063066	0.96080506	0.7422037	0.47167867	0.99501663	0.909	0.37901235	0.87732345	0.0	0.066985644	1.0	0.9907407	0.98531073	0.9909297	0.89881957	0.9433333	1.0	0.741453	0.997998	0.025	0.3804476	0.9689609	1.0	0.5872093	0.010989011	0.40439278	0.9322751	0.5873786	0.7384284	0.8924623	0.9465409	1.0	1.0	0.79079497	0.7721519	0.9772985	0.98395723	0.07777778	1.0	0.4568528	0.9701493	0.7508197	0.08908686	0.3277512	0.5570342	1.0	0.7470011	0.9617756	0.99779737	0.9968254	0.5721925	0.9989909	0.33395523	0.9877551	0.9665654	1.0	0.28709677	0.985	1.0	0.917	0.9969697	0.5382746	0.87921023	1.0	0.5704023	0.055045873
TBL1XR1	1.0	1.0	---	1.0	0.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	0.0	1.0	---	1.0	1.0	1.0	---	---	---	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	---	1.0	1.0	---	---	1.0	---	---	0.0	1.0	---	1.0	---	---	1.0	1.0	1.0	---	---	1.0	1.0	0.0	---	---	0.9918033	1.0	---	1.0	0.762	1.0	1.0	---	1.0	---	0.15748031	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	---	1.0	1.0	1.0	---	---	1.0	1.0	---	1.0	1.0	---	---	1.0	1.0	1.0	1.0	---	---	1.0	0.0	---	---	1.0	1.0	0.0	---	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	1.0	---	1.0	---	1.0	1.0
TBP	1.0	1.0	1.0	---	---	1.0	1.0	1.0	---	1.0	---	1.0	---	---	1.0	---	1.0	1.0	1.0	---	---	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	---	1.0	---	---	1.0	---	---	---	0.0	1.0	1.0	1.0	---	---	1.0	1.0	---	---	---	1.0	1.0	0.0	---	---	1.0	1.0	1.0	---	1.0	1.0	1.0	---	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	---	1.0	1.0	1.0	1.0	---	---	1.0	---	---	1.0	---	1.0	---	---	1.0	1.0	1.0	---	1.0	0.0	---	---	1.0	1.0	---	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	1.0	1.0	---	---	---	0.772
TBPL1	0.4144354	0.6309091	0.2687898	0.0	0.8945055	0.9787234	0.054393306	0.0	0.62030905	0.08206107	0.0062111802	0.041739132	0.0	0.24474187	0.32827324	0.4261745	0.5212947	0.8532338	0.028680688	0.36462882	0.9803601	0.9521127	0.65316904	0.07777778	0.18676123	0.9832285	0.003717472	0.14893617	0.50917995	0.39885497	0.13425925	0.7567204	0.2717949	0.61142856	0.95	0.37445888	0.0	0.13186814	0.7887324	0.12995246	0.59904915	0.02631579	0.5615836	0.91555554	0.6040956	0.28148147	0.9908257	0.90936106	0.18069308	0.125	0.20978121	0.42318842	0.30444965	0.9448819	0.4612245	0.67785233	0.18213059	0.14186852	0.25902337	0.5179325	0.275	0.456446	0.41786283	0.91033137	0.8358008	0.27966103	0.13333334	0.27925533	0.057142857	0.16478555	0.9411765	0.042168673	0.052083332	0.051282052	0.9232804	0.94418603	0.03787879	0.045307443	0.20833333	0.3006536	0.06840391	0.7921147	0.9822222	0.75298804	0.012019231	0.013483146	0.42364532	0.11578947	0.95741326	0.864139	0.340694	0.072072074	0.48021582	0.8372093	0.20620842	0.28688523	0.94545454	0.21258503	0.25148514	0.84563756	0.026865672	0.30325815	0.81454545	0.8584071	0.12919897	0.5648949	0.016563147	0.7089109	0.7137931	0.31203932	0.0	0.004474273	0.05	0.6130099	0.7804878	0.09787928	0.22948074	0.008746356	0.2665474	0.028070176
TBX1	0.76119405	0.1559633	0.58920187	0.9130435	0.58947366	0.99230766	0.0	0.28329298	0.4376417	0.13562752	0.8677098	0.6734007	0.578199	0.96681416	0.9933481	0.56064355	0.34266886	0.82398754	0.68110234	0.6452703	0.25289017	0.95568687	0.12436548	0.82978725	0.8360215	0.45697898	0.19650654	0.9467276	0.21008404	0.12727273	0.7815126	0.8707654	0.48044693	0.4086758	0.8603531	0.89318603	0.49704143	0.97846156	0.7771429	0.80501395	0.3466872	0.6344086	0.47448274	0.7699531	0.6230769	0.01173709	0.90701	0.3954887	0.63141024	0.051194537	0.7264151	0.69876206	0.03787879	0.7785124	0.9194215	0.2172702	0.9064559	0.5309406	0.60482377	0.4750763	0.13278688	0.054830287	0.37288135	0.7093496	0.006127451	0.27090302	0.16595136	0.9957386	0.6007463	0.020920502	0.2736967	0.34765625	0.8745763	0.29022083	0.8500707	0.52076125	0.99067163	0.628483	0.15700142	0.4301676	0.23481782	0.054104477	0.9512195	0.57751477	0.8260105	0.16698292	0.12676056	0.06987952	0.08017493	0.9195231	0.77088946	0.28275862	0.33050847	0.15129152	0.38478747	0.33569404	0.7617729	0.11111111	0.012219959	0.47663552	0.33938548	0.14328358	0.12095033	0.695	0.89180833	0.9554217	0.66463417	0.94526315	0.9950495	0.5379464	0.43275863	0.86624205	0.92583734	0.66495377	0.75151515	0.22022839	0.6899696	0.4005487	0.9407583	0.10902896
TBX21	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	---	1.0	---	---	1.0	---	1.0	---	0.0	---	---	1.0	---	---	---	1.0	1.0	---	---	1.0	1.0	0.0	1.0	---	1.0	1.0	1.0	---	1.0	1.0	1.0	---	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	---	1.0	1.0	1.0	1.0	---	---	1.0	---	---	1.0	---	1.0	---	1.0	1.0	1.0	---	---	1.0	0.014010508	---	---	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	0.013
TBX2	1.0	1.0	1.0	1.0	1.0	1.0	0.081037275	1.0	1.0	1.0	0.996	1.0	---	0.21698113	1.0	1.0	1.0	0.98994976	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0023201855	1.0	1.0	1.0	0.13348676	0.9559877	1.0	0.954955	1.0	1.0	0.9408818	1.0	1.0	0.0	1.0	0.6292482	1.0	1.0	1.0	0.08904811	0.99699396	1.0	1.0	0.94959676	0.50931674	0.6303681	1.0	---	1.0	1.0	1.0	1.0	1.0	0.7102616	1.0	1.0	1.0	0.739	0.8608609	1.0	1.0	1.0	0.22588833	1.0	1.0	1.0	1.0	1.0	1.0	---	0.5888889	1.0	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	0.974	1.0	1.0	0.16760829	1.0	1.0	1.0	1.0	0.71428573	1.0	1.0	1.0	1.0	0.996	1.0	0.9923567	1.0	1.0	1.0	1.0	0.9919598	0.78	1.0	1.0	1.0
TBX3	1.0	1.0	1.0	0.9894737	1.0	1.0	1.0	0.952	1.0	1.0	1.0	0.9987261	1.0	0.86715865	1.0	1.0	1.0	0.8242358	0.99635035	1.0	0.99891067	1.0	0.65217394	0.14814815	1.0	1.0	1.0	1.0	0.996	1.0	1.0	0.8688689	0.99548024	1.0	0.99526626	1.0	1.0	0.84	0.998	1.0	1.0	0.0945946	0.029682701	1.0	1.0	0.97903824	1.0	0.98039216	1.0	0.9842271	0.999	0.3	1.0	1.0	0.3090909	0.46153846	1.0	1.0	0.98554915	1.0	0.99316627	1.0	0.81298995	0.98241204	---	1.0	1.0	0.9648188	1.0	1.0	0.999	1.0	1.0	0.9800839	1.0	0.97333336	1.0	1.0	0.0	0.78965515	1.0	0.6317365	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.99139786	0.982706	0.99895835	1.0	0.97291875	1.0	1.0	1.0	1.0	1.0	0.9989919	1.0	0.9138322	0.8646003	0.03305785	0.8733032	0.995	0.92077464	1.0	0.9939638	1.0	0.9878971	1.0	1.0	0.994	1.0	0.5383721	0.9291085	1.0	1.0	0.9958391
TBX5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	0.999	1.0	1.0	---	---	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	---	1.0	0.03	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	0.991	1.0	---	0.5882353	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	1.0	---	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	0.6594872
TCF12	1.0	1.0	1.0	---	---	1.0	1.0	1.0	---	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0	1.0	1.0	---	---	---	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	0.999	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	---	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	---	1.0	1.0	1.0	0.997	1.0	---	1.0	1.0	---	1.0	---	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	0.0	---	---	---	1.0	---	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	---	1.0	1.0	1.0
