Gene	TCGA-19-4065	GLSS-HF-B972	GLSS-19-0266	GLSS-MD-0023	GLSS-HF-6658	GLSS-CU-R019	GLSS-HF-2548	GLSS-HF-3050	GLSS-19-0268	GLSS-SM-R093	GLSS-19-0271	GLSS-CU-R004	GLSS-19-0273	GLSS-SM-R063	GLSS-CU-P102	GLSS-19-0270	GLSS-MD-LP04	GLSS-MD-0022	GLSS-19-0272	GLSS-SM-R103	GLSS-SM-R080	GLSS-SM-R066	GLSS-SM-R088	GLSS-MD-0035	TCGA-06-0125	GLSS-19-0274	GLSS-HF-57AE	GLSS-19-0267	GLSS-HF-EE74	GLSS-HF-6504	TCGA-06-0210	GLSS-19-0277	GLSS-SM-R060	GLSS-19-0276	GLSS-SM-R068	GLSS-19-0278	GLSS-19-0280	GLSS-HK-0003	GLSS-CU-P069	GLSS-HF-DF35	GLSS-CU-P055	GLSS-MD-0042	TCGA-14-1034	GLSS-CU-P003	GLSS-SM-R064	GLSS-SM-R083	TCGA-19-0957	GLSS-19-0275	GLSS-HK-0001	GLSS-19-0269	GLSS-CU-P046	GLSS-MD-0026	GLSS-SM-R065	GLSS-HF-9A7A
SUMO1	-0.12108011	-0.12676868	-0.112108685	-0.072567984	-0.1403805	-0.12797084	-0.15490374	-0.12332843	-0.12311542	-0.098998524	-0.12074792	-0.094251186	-0.10545257	-0.12391876	-0.0932518	-0.13210739	-0.13312908	-0.10233778	-0.09484151	-0.08009285	-0.07441451	-0.06710904	-0.13581452	-0.053953845	-0.112025	-0.082621425	-0.12941162	-0.1402663	-0.13092561	-0.1514279	-0.11923464	-0.11106777	-0.060047098	-0.100700244	0.06376149	-0.10555059	-0.11529797	-0.13786094	-0.11683863	-0.10492144	-0.14502387	-0.08241235	-0.15242308	-0.17122373	0.04196435	-0.08819159	-0.11709151	-0.111158445	-0.11788068	-0.112616554	-0.12583663	-0.098202094	-0.084928766	-0.15245464
SUMO2	-0.19353713	-0.18708819	-0.17802113	-0.15012832	-0.21626218	-0.17637454	-0.17957398	-0.206367	0.15748459	-0.1661934	0.15951379	-0.17875598	0.15818335	-0.21232747	-0.14205717	0.16665892	-0.18963699	-0.19210249	0.16436817	-0.115424395	-0.20217294	-0.132193	-0.23526293	-0.12984917	-0.22772512	-0.16782285	-0.23369923	0.15088294	-0.1682038	-0.19724803	-0.22309992	0.15885837	-0.16996165	0.15323249	0.16392006	-0.18705639	-0.18233962	-0.17366205	-0.19930504	-0.21205582	-0.22180331	-0.19548115	-0.2466002	-0.25175732	-0.12357097	-0.154027	0.15368363	0.16483401	-0.2056984	-0.1615419	-0.20768274	-0.19781199	-0.106256545	-0.20981511
SUPT16H	0.11978963	0.23446241	-0.11229786	-0.13438855	-0.123506166	0.18957163	0.25634336	0.099167064	0.13998452	-0.1080323	0.2524993	-0.1274263	0.18907814	0.08695637	-0.15806766	0.13341807	-0.12879469	-0.14337002	0.1952385	0.11203162	0.06260591	-0.103208475	-0.17689519	0.1040351	0.10586614	0.18712579	0.14576036	0.1565749	-0.12388142	0.11782906	0.100738	0.1771512	-0.08292723	0.1598021	0.13351266	0.11025918	-0.11117211	-0.093596816	0.12907025	0.18379991	-0.12324606	0.22684936	0.11686778	0.15846044	0.15887475	0.16802995	-0.10098059	0.1803198	0.20229124	0.17390242	-0.11662819	0.10836543	0.17974715	0.1811135
SUPT20H	-0.21803263	-0.28248522	-0.19237721	-0.12686734	-0.24132532	-0.23391712	-0.24443606	-0.21484518	-0.25073063	-0.1660637	-0.23313074	-0.10767312	-0.25690654	-0.18663286	-0.13511106	-0.23030771	-0.23068531	-0.14268948	-0.22709988	-0.08461898	-0.15758142	-0.08903153	-0.21949628	0.06625311	-0.1654811	-0.22980425	-0.2670059	-0.24345908	-0.20935255	-0.2563551	-0.22150178	-0.24357896	-0.12390525	-0.20917514	-0.114151105	-0.21755312	-0.23804078	-0.2282375	-0.1863068	-0.2582743	-0.18736888	-0.16642931	-0.21202575	-0.24305989	-0.075258024	-0.13940974	-0.21613982	-0.21026959	-0.25718704	-0.25384134	-0.22685894	-0.17206578	-0.13031131	-0.22487383
SUPT5H	-0.2508963	-0.24539073	-0.22459698	-0.1778814	-0.26075816	-0.23117784	-0.23290762	-0.25443456	-0.18990797	-0.17873335	-0.20231658	-0.20205052	-0.21806455	-0.2388813	-0.18245725	-0.1887516	-0.22236682	-0.22142458	0.16338505	-0.13772285	-0.22798432	-0.14880523	-0.25898927	-0.14712015	-0.2523201	-0.19383293	-0.2905362	-0.19145177	-0.21632412	-0.26190957	-0.26165837	-0.20648906	-0.19013178	-0.20086622	-0.16951354	-0.23935436	-0.23936228	-0.20384423	-0.24136522	-0.23859662	-0.26647767	-0.22919971	-0.27954105	-0.2881632	-0.13603877	-0.16351883	-0.17451133	-0.18548179	-0.24864818	-0.20403467	-0.23731786	-0.21926826	-0.14694308	-0.25907686
SUZ12	-0.06640354	0.090312	0.15470867	-0.098057896	-0.10214087	-0.07469445	-0.0696489	-0.0789706	0.15372187	-0.108107544	0.15751179	-0.16722688	0.15730228	-0.098123126	-0.08497142	0.1625791	-0.078926116	-0.12440883	0.16154493	-0.06460328	-0.088230975	-0.10403995	-0.11712987	-0.09766741	-0.13906866	0.15990002	-0.07214653	0.14973317	0.07588709	0.06928819	-0.08921141	0.15804438	-0.11669273	0.14926969	0.14269106	0.16359349	0.16374342	0.08565005	-0.09294272	0.0851751	-0.118861206	-0.09113153	-0.1339474	-0.118211895	-0.06989672	0.10296867	0.15028848	0.16408774	-0.07200246	0.15593135	-0.090765245	-0.10524604	0.05912501	-0.09395468
TAF15	-0.08753453	-0.077841006	-0.08872916	-0.07012423	-0.09327206	-0.08398774	-0.07698957	-0.08930713	-0.06446441	-0.08206989	-0.06307094	-0.0806424	-0.06860474	-0.09909863	-0.06230655	-0.08140301	-0.07420507	-0.08013364	0.06391754	-0.06193363	-0.07616167	-0.0775164	-0.09701074	-0.05036778	-0.10026477	-0.078912884	-0.10916701	-0.07967367	-0.08970929	-0.08970409	-0.10450825	-0.07604353	-0.086960346	-0.070658766	-0.064815156	-0.0820924	-0.106336474	-0.08828147	-0.095687345	-0.08495233	-0.099082164	-0.09455573	-0.13160808	-0.10435049	-0.05584613	-0.063293315	-0.076944046	0.06710487	-0.09423262	-0.06598885	-0.1122395	-0.085761175	-0.05167959	-0.08521294
TAF1	-0.23109601	-0.22527947	-0.21999533	-0.16466844	-0.2600421	-0.22152168	-0.21163465	-0.23534712	-0.17211631	-0.18329765	-0.18213677	-0.20423816	-0.18549737	-0.23104843	-0.1642788	0.17503762	-0.21804883	-0.22276315	0.17566708	-0.12470379	-0.22296855	-0.15134113	-0.26415673	-0.1491559	-0.25656193	-0.19231935	-0.27557808	-0.17735416	-0.21318568	-0.242608	-0.26009458	-0.19530512	-0.19931583	-0.17256576	0.17829558	-0.2338139	-0.21793821	-0.18627824	-0.22424813	-0.2299007	-0.2658592	-0.23443483	-0.27231953	-0.2796041	-0.12990317	-0.15747239	-0.17400889	0.17480204	-0.23137657	-0.18924928	-0.22986665	-0.22001788	-0.12614965	-0.24863726
TAF7	-0.18993548	-0.22598356	-0.18846555	-0.10895306	-0.2317158	-0.18572107	-0.18291189	-0.19642733	-0.19397305	-0.13721389	-0.21433027	-0.115122005	-0.1934101	-0.18341406	-0.13434106	-0.21470016	-0.21944137	-0.15158834	-0.1781909	-0.08160604	-0.17419297	0.08297293	-0.21428454	-0.064666435	-0.18417986	-0.19363706	-0.28306457	-0.19181076	-0.18181653	-0.24379124	-0.21419793	-0.23870447	-0.1349014	-0.19443601	-0.15379132	-0.20028603	-0.23091722	-0.17875275	-0.17710575	-0.20120059	-0.19919652	-0.1636107	-0.19471201	-0.22631083	-0.10342043	-0.13232592	-0.17540094	-0.18371992	-0.22232048	-0.20781471	-0.20214358	-0.18888809	-0.10095233	-0.1984449
TAL1	-0.18014702	-0.1437907	0.18976429	-0.16331106	-0.1893742	-0.17426896	-0.16754249	-0.18117854	0.18964611	-0.16102564	0.19249196	-0.19719544	0.19308282	-0.19583254	-0.14722064	0.20095064	-0.16380128	-0.18222721	0.20177773	-0.12233794	-0.16737506	-0.14160015	-0.19521254	-0.12991083	-0.2086733	0.19443181	-0.20161246	0.18217216	-0.15712537	-0.17901464	-0.1957049	0.1951999	-0.16714162	0.18860237	0.18234886	0.20252618	0.2010885	-0.13300104	-0.16097577	-0.16027388	-0.20681378	-0.17920278	-0.21387449	-0.20783502	-0.120605595	0.1386672	0.18806079	0.20122637	-0.16699086	0.19223592	-0.16660719	-0.16846634	-0.10176549	-0.19590187
TARDBP	-0.2165443	-0.23577811	-0.21821608	-0.13477415	-0.23828779	-0.19478934	-0.20789175	-0.21107209	-0.21279564	-0.14779162	-0.2058808	-0.13963062	-0.20704196	-0.20751233	-0.1446554	-0.20553717	-0.21388157	-0.17098208	-0.17417702	-0.10112971	-0.1899186	-0.10330021	-0.2308585	-0.10044114	-0.19400589	-0.18262161	-0.25460312	-0.19923374	-0.19694944	-0.24388734	-0.231515	-0.20534839	-0.13647035	-0.20958534	-0.13985908	-0.20393462	-0.22113949	-0.1936995	-0.20308582	-0.22413085	-0.22086237	-0.19736266	-0.23173444	-0.24637252	-0.10944091	-0.15044701	-0.19032204	-0.19271307	-0.2292411	-0.21659978	-0.2074611	-0.1749717	-0.11747826	-0.22250755
TAZ	0.048921365	-0.039552815	0.090433046	-0.07073611	-0.06453649	-0.083850116	-0.07925012	-0.052093815	0.0916121	-0.041591134	0.08766705	-0.09185939	0.10050398	-0.05431263	-0.1057145	0.0729415	0.05181126	0.067612074	0.121433616	-0.10650326	0.09564306	-0.08564662	-0.07260114	-0.0852834	-0.057978626	0.08650885	0.058122355	-0.07944701	0.05438535	-0.06928819	-0.07049703	0.072365254	-0.07945073	0.08522504	0.055155244	0.112422064	0.076728895	-0.0554368	0.046723165	0.043345407	-0.0746253	-0.057974398	-0.08591103	-0.065414384	0.05241904	0.07340353	0.09266974	0.069604464	0.068432614	0.07010076	-0.0816889	0.05210993	0.061897833	-0.09019199
TBL1XR1	-0.21138991	-0.2309967	-0.20953779	-0.12767056	-0.23113053	-0.20479712	-0.19706436	-0.20859696	-0.20415105	-0.13715982	-0.20547354	-0.12365137	-0.19213286	-0.19274591	-0.14115886	-0.20879091	-0.21416157	-0.1593191	-0.17958738	-0.09857311	-0.17349944	-0.09667894	-0.2188014	-0.08208764	-0.1741183	-0.18334007	-0.25737882	-0.20359327	-0.19362612	-0.23997949	-0.22571889	-0.20524949	-0.13347094	-0.20672545	-0.13078183	-0.20082726	-0.22073288	-0.17737289	-0.18855172	-0.2167759	-0.21774806	-0.17805076	-0.21189193	-0.23852497	-0.09236744	-0.14278628	-0.17302547	-0.19644949	-0.23113759	-0.21465018	-0.20701973	-0.16652161	-0.112131745	-0.20808579
TBP	-0.25780967	-0.2613099	-0.23660614	-0.17098005	-0.26140034	-0.23950781	-0.23518145	-0.25354716	-0.22072643	-0.18401988	-0.21193227	-0.18157084	-0.21804434	-0.2496774	-0.1836576	-0.19792631	-0.23721859	-0.21512079	-0.17146258	-0.13555346	-0.23445727	-0.14449069	-0.26738045	-0.13958795	-0.25370735	-0.2084994	-0.30320066	-0.21442872	-0.22128229	-0.27143624	-0.2685895	-0.22182277	-0.18752939	-0.21107188	-0.1715428	-0.24759181	-0.24392046	-0.20597383	-0.24412595	-0.24051546	-0.2624159	-0.22861356	-0.27985454	-0.28827927	-0.13619234	-0.1707325	-0.18682435	-0.20170136	-0.25938138	-0.22455585	-0.24445583	-0.22710077	-0.14552194	-0.2668769
