Gene	Preston5	Walton64	K26	K17	Walton10	Walton19	K22	R111	Preston7	Preston24	K34	Walton82	s357	s181	s259	R112	K21	s326	Walton46	Camb2	Walton14	R003	K12	R005	HF2829	K14	K36	Walton50	s279	R113	s309	s123	K30	H043_63R6	Camb4	R095	H043_LNWEGT	s151	Walton63	s402	Leeds28	Walton59	R099	Preston22	R102	R010	R002	AD22	H043_4PGF	R006	HF2934	H043_6F91	R104	H043_D9MRCY	H043_GKS176	R107	s383	H043_ZMHY	K37	Preston27	Camb12	R110	K27	Walton2	Walton3	Preston16	s295	HF3162	R109	Camb8	Leeds105	H043_PWC258	Walton71	AD20	H043_BU96	Leeds106	Preston34	K32	R108	Preston30	R106	Leeds101	H043_W99H5K	Walton8	R009	K16	R007	Camb9	R008	K15	H043_GESMJV	s341	HF2998	Preston10	Preston36	H043_XACH	H043_N7LCPV	Camb7	R101	R001	H043_DSX2	Walton84	Walton67	K20	Walton43	Walton55	H043_XG4KY2	H043_5VWP	Camb10	s245	R100	s139	K06	Walton5	Walton62	Camb13	K24	HF2919	AD23	AD21
PBX2	-0.24674928	0.15589891	-0.16235182	0.13300137	-0.21368203	-0.24673527	0.20719546	0.21924862	-0.16864187	0.17584318	-0.1407305	0.18992007	0.15407069	-0.20582594	0.19511521	-0.16826186	-0.18968026	-0.24441682	-0.16196972	-0.17676055	0.20024034	0.14412424	0.21053915	0.1895789	0.11577323	0.16533883	-0.12665878	0.17423426	-0.2270973	-0.19821145	-0.20471516	0.17011838	-0.18479681	-0.18656135	0.189018	-0.14559476	-0.2033771	-0.21723564	0.22877578	-0.20142767	0.16865946	0.17157334	-0.40274766	-0.16117577	-0.1459538	-0.13197407	0.16588332	0.1297691	-0.19245553	0.17276423	-0.13563083	-0.1914173	0.15753649	0.21297958	-0.22326985	-0.26838106	0.1418313	0.14087996	-0.16350304	0.35263005	0.13215761	-0.17248861	-0.21246004	-0.18512695	-0.14301445	-0.15662542	-0.19731583	0.18891141	-0.13717826	0.16221918	0.20958973	0.17550497	-0.25522736	0.16678809	-0.13850717	0.20097815	-0.1644504	0.1408383	0.2664783	-0.2414279	-0.2371529	0.19736725	0.13633753	0.13940586	0.16979231	0.17664829	-0.19602203	-0.17078105	0.16913874	0.150013	0.19736081	0.15429662	0.13331024	0.20557678	0.15936776	-0.1629722	0.15954992	-0.12814188	0.20986997	-0.168691	-0.15037005	-0.22723112	0.14710861	-0.22412115	-0.15181828	-0.22377561	0.1806967	0.21554132	0.18839267	0.2138845	-0.26271948	-0.22976784	-0.14254963	-0.323416	0.22274277	-0.16872732	0.22760925	-0.14128667	-0.16863026	0.16252503
PBX3	-0.16416994	-0.16805422	-0.18647508	-0.14078759	-0.20879962	-0.20047475	0.13997534	0.17758735	-0.1739648	-0.11947568	-0.15890868	0.19127893	0.14549142	-0.24736372	0.21823677	-0.14245042	-0.1345565	-0.25247377	-0.15625444	-0.14277802	0.1468274	-0.14154844	0.1472827	0.16971311	0.16745864	0.16804014	0.1234808	0.18043336	-0.18378006	-0.17180867	-0.18692806	0.166245	0.13441947	-0.12035907	-0.13512306	-0.12940745	0.13169906	-0.19598289	0.20532547	0.14227091	-0.15835771	0.15515327	-0.33848995	0.13238044	0.13431385	0.121548936	-0.14724852	-0.14036983	-0.160602	0.21477263	0.13612287	-0.15573071	-0.17756605	0.17427772	-0.16580868	-0.2835228	0.1537883	0.12080882	-0.1714525	0.3200128	0.14980775	-0.15176514	-0.22406065	-0.16212557	0.14347427	0.12359062	-0.16540578	0.14410998	-0.1844771	0.15812251	0.1997336	0.14630036	-0.22583905	-0.14594457	0.13108346	0.1799928	-0.15911403	-0.16133206	0.26637736	-0.16643089	-0.16647772	0.15590833	0.20128886	-0.13397746	-0.16395661	-0.12793808	-0.14092335	0.14483318	0.19739687	0.16477142	0.16445082	0.12327232	-0.13222602	0.19686793	-0.11902095	-0.14892176	0.12092803	-0.18701121	0.20004763	-0.20395233	-0.15410124	-0.17508863	0.1633601	-0.253494	0.14916581	-0.16437478	0.123800606	0.13975294	0.16126454	0.16164264	-0.17171508	-0.19002397	-0.11701365	-0.2949013	0.16843422	-0.1498061	0.19045901	-0.16853224	0.14669205	0.1973801
PBXIP1	0.35309955	-0.4183365	-0.1911168	-0.20405024	-0.31208697	0.28170654	-0.36946937	0.48068038	-0.44725344	0.43324503	-0.17456621	0.4212565	0.45502397	-0.31017745	-0.29011136	-0.32229453	0.4483215	-0.6400745	-0.5154623	0.32239348	0.35567987	0.3972402	0.44610286	0.34049165	0.32501447	0.42367288	0.3593153	0.40316343	0.42965904	0.4497396	-0.4642972	0.36910307	0.31936643	-0.35538945	-0.29156289	0.21567933	0.5082909	0.23464848	-0.47274256	0.29657823	-0.35034415	-0.40067926	-0.45021155	0.31279558	-0.43561825	0.3064599	-0.54334867	-0.52583385	-0.32901633	-0.26440582	0.71654224	0.3412698	-0.40888536	0.41318026	0.2472184	-0.6047776	-0.36745235	-0.4204333	-0.21308893	0.48921698	-0.3871405	0.4144353	-0.44787398	-0.4076649	-0.2798356	0.4474391	-0.29636613	-0.25829396	-0.5125156	0.37099338	0.43982646	0.4082475	0.4379823	0.3115562	-0.62167233	0.40725493	-0.33431643	-0.3422655	0.24504107	0.49635786	0.7453978	0.36975235	0.25608	0.26017666	-0.45882925	0.247522	-0.45608714	0.40752512	0.6229963	-0.3295822	-0.4108594	0.5216373	-0.38717124	0.42189437	0.533956	-0.378327	-0.47546965	0.317859	0.33018255	-0.5073937	-0.49942	-0.3786775	-0.35869035	0.24890646	0.48245168	0.3038861	0.3613872	-0.47361168	0.67140144	0.354864	-0.3349204	-0.57091266	-0.23140533	-0.4275563	-0.3040616	-0.2843966	-0.34562656	-0.49835664	-0.28645176	-0.44069594
PCBP1	-0.22987653	-0.15661545	0.15905082	0.125912	-0.22419094	-0.25226685	0.21501277	0.20929356	-0.18646558	-0.12709178	-0.12646429	0.18053734	-0.17291765	-0.25273398	0.21321596	0.1717094	-0.16682868	-0.23213124	0.1509561	-0.1758487	0.15634301	0.15399408	0.19339953	0.16619405	0.11382135	0.1473957	-0.13567552	0.15672755	-0.22634393	-0.21955295	-0.18745866	0.18891379	-0.13702382	-0.14007929	0.16930878	-0.16098353	-0.1749903	-0.15858255	0.18448973	-0.21948966	-0.16243716	0.14918487	-0.39914736	-0.14265367	-0.14764188	0.1368749	0.14462937	-0.15089624	-0.23640847	-0.1493319	-0.13501075	-0.14160529	0.16062288	0.20425706	-0.22622697	-0.24646746	0.12541765	0.17770237	-0.14503773	0.3330807	-0.12575366	-0.16610111	-0.24163823	-0.18565546	0.14506508	0.14201315	-0.21973531	0.22020143	0.16377655	0.14385445	0.18693185	0.14830574	-0.17853788	-0.13938025	0.16565618	0.18198965	0.158803	-0.1667522	0.28159934	-0.24405201	-0.21276006	0.15763217	0.12939647	-0.13198768	-0.16659649	0.15303688	-0.20180641	0.15240745	0.20171605	0.1579767	0.1928392	0.13793425	-0.13928305	0.21557091	0.14950714	-0.1674007	0.15890491	-0.15465218	0.21968849	-0.18212295	0.1415437	-0.18504576	0.12890239	-0.20267935	0.15479022	-0.21508096	0.14267741	0.18703307	0.1910087	0.16111471	-0.22402607	-0.22047453	0.12560165	-0.31096247	0.19533682	-0.15384229	0.19802095	-0.15044011	0.16510901	-0.148458
PCBP2	-0.33141562	0.2731117	-0.40338182	0.25290293	0.35140866	-0.3962091	0.2834041	0.32874155	-0.30114344	-0.39050075	0.34780926	0.4065372	-0.29383987	-0.23126125	-0.26037106	0.3739723	-0.36721814	0.23094645	0.43605423	0.2740087	-0.29314446	0.29602	-0.23570424	-0.2917611	-0.3200747	-0.20365177	-0.35476112	-0.28094777	-0.3311371	0.16615158	-0.1898062	0.30852827	-0.35423192	0.24615027	0.3531794	-0.33367452	-0.3436664	0.35509807	0.41150722	-0.27677584	-0.292925	0.25589642	-0.24517192	-0.364484	-0.2486281	-0.35026416	0.2965342	0.31412393	-0.35778284	-0.44658834	-0.23837468	0.32858357	0.26621625	-0.35103077	0.32443944	-0.2071688	0.4291315	0.31555504	-0.25600886	0.38792697	0.37297136	-0.2998441	-0.26507935	-0.22068213	-0.24704683	-0.18548225	-0.479262	0.39045632	0.28298914	-0.33026776	0.24306895	0.27058238	-0.24137866	0.42383912	-0.2590089	0.19067284	0.21556318	0.2975744	-0.2710386	-0.29337382	-0.24794194	0.28113383	0.20156652	-0.4109624	0.24419582	0.3137056	-0.40247762	-0.34508738	-0.22098035	0.24925347	0.34666637	0.20655832	0.30799183	0.30102605	0.36230913	-0.3213388	0.25516102	-0.24608958	-0.22293067	0.41090205	0.32907516	0.21036081	0.20143831	0.31505576	0.32982597	-0.26882234	-0.2958931	-0.24819715	0.35860837	0.23011303	-0.29414323	-0.38143003	-0.34389043	-0.3063165	0.3514462	-0.33782226	0.29026118	0.33072883	0.2623439	-0.2164862
PCF11	-0.23677063	-0.17874889	0.16504662	0.15134458	-0.2448712	-0.26988983	0.29966912	0.2957852	-0.2268886	-0.1360683	-0.14612117	0.19241206	-0.16037573	-0.2202731	0.2284686	0.20357336	-0.17430753	-0.24794193	0.170409	-0.20875588	0.1549704	0.14939982	0.17899723	0.20422533	0.20474806	-0.14669624	-0.16927323	0.17306396	-0.19388661	-0.22261271	-0.17840104	0.14325494	0.1798573	0.14338097	0.17502543	-0.14876692	-0.22371483	-0.20213294	0.18723218	-0.153025	-0.16272968	-0.1573481	-0.46200863	-0.16955356	0.23752879	-0.13315329	-0.13045228	-0.21943142	-0.22342384	-0.17165823	0.1708305	0.1171883	-0.1414613	0.2709667	-0.2007822	-0.28391713	0.16423512	0.21295732	-0.15102552	0.3508504	0.1387576	0.19658536	-0.3437119	-0.23517607	0.15737402	0.16231912	-0.16767499	0.1563236	0.14676782	0.17730705	0.18435292	0.15770318	-0.24854065	-0.17659745	0.1629105	0.19333899	0.16402489	-0.1918767	0.21014594	-0.25311044	-0.20456825	0.19887395	-0.14721069	0.1504716	-0.21089448	-0.15201901	-0.1768606	0.177109	0.25838208	0.18871184	0.14807096	0.174724	-0.16461828	0.28581536	0.12768342	-0.20836562	0.20108604	-0.23483093	0.20688052	-0.21907598	-0.13257244	-0.21384403	0.15349868	-0.1773315	-0.17011869	-0.1938654	-0.13735947	0.1684583	0.1375557	0.20824912	-0.2269133	-0.20745885	0.16229732	-0.3296258	0.18800047	-0.15919405	0.21314299	-0.24316661	0.19489032	-0.17114666
PCGF2	-0.40555614	0.302893	-0.4042544	0.26521188	0.41559443	-0.35340905	-0.24870473	-0.20621665	0.27001753	-0.30306172	0.46943685	0.3044272	0.34054708	-0.27217492	0.29676563	0.2533364	0.25778064	0.27060747	0.31603962	0.4077098	-0.36248738	-0.2628344	0.2845201	-0.38631278	-0.40190187	0.29179278	0.27008986	0.3207946	-0.47101977	-0.23387472	-0.35627237	0.46949744	-0.3927	-0.35594603	0.3989565	-0.3412587	0.27200815	0.4313327	0.4555693	-0.41400743	-0.2722168	-0.29473343	0.18581133	0.3138864	-0.52914983	-0.24955629	0.309215	0.47735137	-0.41002113	0.3066282	-0.34544227	0.24828242	0.42129427	-0.35783744	-0.36817622	0.34954646	-0.26855123	0.21722755	0.31355128	0.39309043	0.43655953	-0.4536103	0.34748593	0.3106076	0.32252973	0.21563064	-0.46930602	0.5240035	0.32486826	-0.32650122	0.25543103	0.3411522	-0.24581896	0.36900815	0.2728843	0.36068824	0.31608886	0.3415426	0.30270404	-0.25447875	-0.3401423	0.30858153	0.43158767	-0.4231383	0.27056274	0.30179065	-0.42136607	-0.2730921	-0.4108798	-0.35507408	0.36331207	-0.27411568	0.29414195	0.30676246	0.4532975	-0.34735584	-0.22398166	0.34495637	0.30998617	0.39330724	0.32575977	0.38894585	0.30351827	0.2729376	0.32970136	-0.35789078	0.32914272	0.30659497	0.44982523	0.35237163	-0.3274153	-0.4684515	-0.44099623	-0.4254583	0.35389432	-0.41027424	0.3037904	0.4594329	0.3310197	0.2129607
PDX1	-0.23224859	-0.17226861	-0.23051803	0.15167041	0.1629775	-0.27099776	0.15717772	0.18694316	0.17417835	-0.17250837	0.19943914	0.24622783	0.23587553	-0.19280918	0.22003168	0.1645889	-0.14813001	-0.24115689	0.179357	0.19802088	-0.18257166	0.16594759	0.20427382	-0.18916367	-0.16829145	0.1841247	0.14845966	0.23783514	-0.27978352	-0.18186	-0.23757304	0.23909359	-0.20974183	-0.18403049	0.20511562	-0.19175476	-0.15815346	0.19533171	0.28026322	-0.25004598	-0.17496607	-0.20468375	-0.27131453	-0.19648279	-0.25985497	0.16501734	0.20861968	0.25951982	-0.1790947	0.22384647	-0.15309054	-0.1434465	0.18978262	0.1638662	-0.19697094	-0.22866023	0.15309526	0.15655664	-0.19040701	0.35669875	0.23630047	-0.24920022	-0.20281796	0.18558139	0.16991998	-0.17248513	-0.24265811	0.2645264	-0.15120845	0.2083779	0.24856052	0.1807706	-0.2310124	0.21643506	-0.16604374	0.19964981	0.19908497	0.18568195	0.2429597	-0.18350348	-0.20936562	0.23949249	0.2330918	-0.2217515	0.19821209	0.16538703	-0.2564779	-0.18394987	-0.16114405	-0.15650849	0.2248687	-0.213497	0.18789214	0.20657271	0.1992418	-0.19225252	0.13937543	-0.17472486	0.1831383	0.18142886	0.16975139	-0.19349593	0.20005982	-0.20377252	0.20475219	-0.24572064	0.17087747	0.16036014	0.2537292	0.24461155	-0.2036154	-0.31078377	-0.23013909	-0.32442904	0.26063353	-0.20725648	0.2000597	0.21833739	-0.18877734	0.18386346
PEX2	-0.23876144	-0.17550012	0.14483762	0.13763781	-0.2608652	-0.24939843	0.22448295	0.2403742	-0.19182342	0.1528492	-0.18464933	0.20354885	0.15461186	-0.2280145	0.24105324	0.1672101	-0.2304825	-0.24662024	-0.1692467	-0.20523576	0.15904501	0.13887215	-0.15546785	0.22871235	0.17954227	-0.15251741	-0.15005133	0.17578831	-0.17962214	-0.19236493	-0.17589386	-0.13993643	0.19144009	0.15665208	-0.1364118	-0.14721365	-0.19650128	-0.2129268	0.18816492	0.16355701	-0.19713885	-0.17323714	-0.40613183	-0.17085446	0.25566393	0.13336399	-0.14222568	-0.23240513	-0.18613672	0.17653018	0.13271667	0.11189231	-0.14543438	0.22722009	-0.15953843	-0.29914215	0.2020345	0.19777282	-0.18622543	0.35404816	-0.13014136	0.20755912	-0.309148	-0.21405427	0.17531233	-0.14741182	0.12835331	-0.13282806	0.14763826	0.18931587	0.2317161	-0.116814636	-0.281227	-0.16735205	0.1275696	0.19166835	-0.18732828	-0.15326646	0.17001261	-0.23740946	-0.20188092	0.18076612	-0.12872179	0.1588937	-0.22189218	-0.14946713	-0.14878577	0.14485894	0.2874142	0.18360731	0.13810019	-0.12688927	-0.17726555	0.25028217	-0.14228964	-0.14825627	0.17417213	-0.2227311	0.15116724	-0.21399821	-0.12944968	-0.22745837	0.15500918	-0.22523835	0.16285579	-0.1991625	-0.1171994	0.14752245	-0.149619	0.1853806	-0.19640467	-0.1893796	0.13991049	-0.33095124	0.2360949	0.13614643	0.2182939	-0.24290608	0.17555349	0.13437451
PGR	-0.19229785	0.16807523	-0.25033966	0.14046487	-0.15655014	-0.28538638	0.17616461	0.26958188	-0.1686828	-0.13673075	0.20961073	0.21375723	0.18293376	-0.26171738	0.20466334	0.18256527	-0.11130197	-0.22770937	0.15687822	0.17173244	-0.19385196	0.17451437	0.19950187	-0.1553369	0.1356518	0.15242767	0.12785435	0.22078156	-0.2665062	-0.20228478	-0.21669422	0.24058102	-0.17679952	-0.1401889	0.16913101	-0.14271204	-0.18514471	0.18467519	0.2619985	-0.22863321	0.20041917	0.14970236	-0.36561224	0.13403769	-0.2280587	0.1585734	0.16512914	0.18874675	-0.19198793	0.20320298	0.09321553	-0.16195434	0.21581966	0.18388271	-0.19985256	-0.2211305	-0.14327365	-0.1291383	0.117278494	0.34251535	0.2062237	-0.2208901	-0.19573636	-0.15502185	-0.12392842	0.12145872	-0.24669015	0.23734024	-0.15939395	0.16358547	0.1575881	0.20108561	-0.1894343	0.21361746	0.16036284	0.22948983	0.17309386	0.15827362	0.2715858	-0.19451085	-0.163371	0.199772	0.23294416	-0.22806706	-0.18889667	0.13768387	-0.22690365	-0.13221703	0.16017891	-0.13553512	0.24678558	-0.15628971	0.1458268	0.21908355	0.18502942	-0.21084951	0.18352808	-0.15981042	0.22465529	-0.14710186	0.16029601	0.15060197	0.16388285	-0.1594401	0.18762678	-0.18912065	-0.15546818	0.15835474	0.23360841	0.24325868	-0.2479075	-0.28293794	-0.19224146	-0.28536168	0.18950725	-0.2001372	0.19872656	0.18365268	0.17739919	0.15709206
